message,labels,emotion,confidence
yes,POS,POS,1.0
ok thanks,POS,POS,1.0
no,NEG,NEG,1.0
GG,POS,POS,1.0
ok thank you,POS,POS,0.825
harsh,NEG,NEG,1.0
Sunny Maitra,NEU,NEU,0.9546785950660706
technical support,NEU,NEU,0.940493643283844
complaint,NEG,NEG,1.0
ha - looks good!!! great call!! thanks so much!!,POS,POS,0.9925631880760193
Leave me alone,NEG,NEG,0.8367634415626526
yes has to be seperate numbers,NEU,NEU,0.9791916012763977
thx,POS,POS,1.0
ok im there,POS,POS,0.5335999131202698
ok I got it. Thanks,POS,POS,0.8911402821540833
no budget,NEG,NEG,0.688
no idea,NEG,NEU,0.9033034443855286
dont like this,NEG,NEG,0.9550979137420654
saved cart listings automatically in listing?,NEU,NEU,0.9602130055427551
and help me print a listing flyer,NEU,NEU,0.8869795203208923
stop popping up,NEG,NEG,0.6634083390235901
Good Morning.  I would like to know what the rules are regarding monetary incentives being placed in the Agent confidential remarks?,NEU,NEU,0.934721827507019
lol and i dont want his info on there,NEU,NEU,0.7426319718360901
no thank you,NEG,NEG,0.8700274229049683
go away very annoying,NEG,NEG,0.9754000306129456
Can you help?,NEU,NEU,0.6319229006767273
please remove this window,NEG,NEG,0.9114718437194824
how to stop this pop up,NEG,NEG,0.7335914969444275
can i message with a human please,NEU,NEU,0.9269075393676758
im not certain if i set them up correcty,NEU,NEU,0.8773540258407593
how can i share listings with a client,NEU,NEU,0.9676125645637512
Pls tell me about 3BHK flat,NEU,NEU,0.967616856098175
how do i invite a client to dash?,NEU,NEU,0.9750574231147766
I want a industrial area,NEU,NEU,0.8324162364006042
"Hi, please have someone contact me as I thought I just paid you?",NEU,NEU,0.9516733884811401
IM HAVING TROUBLE LOCATING A LISTING FOR THIS ADDRESS 9954 SUNSET BLVD,NEG,NEG,0.6616293787956238
FUCK OFF,NEG,NEG,0.9758777618408203
I have no Email A/C..,NEG,NEG,0.607905924320221
go away!  the screen is blocking my other functions and Im busy,NEG,NEG,0.9816656708717346
i have contact on your land liine number no body picking up the phone.,NEG,NEU,0.5255404114723206
